,Center,EN_NAME,Neighbor1,TRUE
0,"(43.63202777777777, 113.75647222222221)",ZBAAAR01,"[167, 168]",Yes
1,"(41.93784722222222, 116.36958333333332)",ZBAAAR02,"[167, 169, 170, 171, 172]",Yes
2,"(40.553125, 116.43861111111111)",ZBAAAR03,"[169, 173, 174, 175, 176, 177]",Yes
3,"(41.04493055555555, 117.91472222222222)",ZBAAAR04,"[170, 173, 178, 179]",Yes
4,"(40.984375, 114.66743055555555)",ZBAAAR05,"[171, 174, 180, 181]",Yes
5,"(39.51305555555556, 114.28657407407407)",ZBAAAR06,"[175, 180, 182, 183, 184, 185]",Yes
6,"(41.25694444444445, 111.38893518518518)",ZBAAAR07,"[186, 187, 188]",Yes
7,"(41.10634920634921, 108.13154761904762)",ZBAAAR08,"[186, 189, 190, 191, 192, 193]",Yes
8,"(37.568125, 112.28423611111111)",ZBAAAR09,"[194, 195]",Yes
9,"(38.61718750000001, 112.74118055555556)",ZBAAAR10,"[182, 187, 189, 194, 196, 197, 198, 199, 200]",Yes
10,"(36.633, 113.23894444444446)",ZBAAAR11,"[195, 196, 201, 202, 203, 204, 205, 206]",Yes
11,"(38.41416666666667, 115.16144444444444)",ZBAAAR12,"[183, 197, 201, 207, 208, 209, 210]",Yes
12,"(37.11962962962963, 114.92175925925926)",ZBAAAR13,"[198, 202, 207, 211, 212, 213, 214]",Yes
13,"(38.04319444444444, 115.85486111111112)",ZBAAAR15,"[208, 211, 215, 216]",Yes
14,"(37.73777777777778, 116.46777777777778)",ZBAAAR17,"[209, 212, 215, 217, 218]",Yes
15,"(38.11, 117.24185185185185)",ZBAAAR18,"[217, 219, 220]",Yes
16,"(39.21069444444444, 116.77479166666666)",ZBAAAR19,"[176, 178, 184, 210, 216, 218, 219, 221, 222]",Yes
17,"(39.61020833333333, 118.15222222222222)",ZBAAAR20,"[177, 179, 221, 223, 224, 225]",Yes
18,"(38.97314814814815, 119.34555555555556)",ZBAAAR21,"[223, 226, 227, 228]",Yes
19,"(38.267916666666665, 118.48194444444445)",ZBAAAR22,"[220, 222, 224, 226, 229, 230, 231]",Yes
20,"(36.74366666666667, 118.23722222222223)",ZBAAAR23,"[213, 229, 232, 233, 234, 235]",Yes
21,"(35.53861111111111, 117.53049999999999)",ZBAAAR24,"[232, 236, 237, 238, 239, 240]",Yes
22,"(35.148, 114.13272222222221)",ZBAAAR25,"[203, 214, 233, 236, 241, 242, 243]",Yes
23,"(33.425069444444446, 114.72840277777779)",ZBAAAR27,"[237, 241, 244, 245, 246, 247, 248]",Yes
24,"(33.84868055555555, 112.6301388888889)",ZBAAAR29,"[204, 242, 244, 249, 250, 251, 252, 253]",Yes
25,"(34.47972222222222, 112.3125)",ZBAAAR30,"[205, 243, 245, 249, 254, 255]",Yes
26,"(33.28, 112.80611111111112)",ZBAAAR31,"[246, 250, 254, 256, 257]",Yes
27,"(40.59175925925926, 113.20231481481483)",ZBAAAR32,"[181, 185, 199]",Yes
28,"(31.522222222222222, 107.86194444444445)",ZUUUAR01,"[258, 259, 260, 261]",Yes
29,"(30.45344444444445, 100.0855)",ZUUUAR03,"[262, 263, 264]",Yes
30,"(31.885208333333335, 104.2292361111111)",ZUUUAR04,"[265, 266, 267, 268, 269]",Yes
31,"(30.670092592592596, 105.73648148148148)",ZUUUAR05,"[258, 270, 271, 272, 273, 274]",Yes
32,"(29.486722222222227, 104.11755555555555)",ZUUUAR08,"[270, 275, 276, 277, 278, 279, 280]",Yes
33,"(29.008958333333336, 106.64125)",ZUUUAR10,"[271, 275, 281, 282, 283, 284, 285]",Yes
34,"(30.61777777777778, 104.27409722222222)",ZUUUAR11,"[265, 272, 276, 286, 287, 288]",Yes
35,"(31.30722222222222, 102.63977777777777)",ZUUUAR12,"[262, 266, 277, 286, 289]",Yes
36,"(30.081444444444447, 108.27111111111113)",ZUUUAR13,"[259, 281, 290, 291, 292, 293, 294]",Yes
37,"(31.433333333333337, 106.33212962962962)",ZUUUAR15,"[260, 273, 287, 295, 296]",Yes
38,"(32.013703703703705, 106.03527777777776)",ZUUUAR16,"[267, 288, 295, 297, 298]",Yes
39,"(28.09394444444444, 104.10683333333334)",ZUUUAR18,"[278, 282, 299, 300, 301]",Yes
40,"(30.247430555555557, 106.858125)",ZUUUAR20,"[261, 274, 279, 283, 290, 296]",Yes
41,"(27.617277777777776, 108.55199999999999)",ZUUUAR21,"[284, 291, 302, 303, 304, 305, 306]",Yes
42,"(27.488444444444447, 106.03566666666666)",ZUUUAR24,"[285, 299, 302, 307, 308]",Yes
43,"(28.568666666666665, 101.95383333333334)",ZUUUAR25,"[263, 280, 289, 300, 309]",Yes
44,"(25.988444444444447, 106.87444444444445)",ZUUUAR26,"[303, 307, 310, 311, 312]",Yes
45,"(38.72958333333334, 120.94229166666668)",ZYTLAR01,"[227, 230, 313, 314, 315, 316, 317, 318]",Yes
46,"(39.24016666666667, 121.74394444444445)",ZYTLAR02,"[313, 319, 320, 321, 322]",Yes
47,"(38.33638888888889, 123.03305555555556)",ZYTLAR03,"[314, 319, 323, 324, 325, 326]",Yes
48,"(40.237341269841274, 123.53944444444446)",ZYTLAR07,"[320, 323, 327]",Yes
49,"(42.28136111111111, 127.80005555555559)",ZYTLAR09,"[327, 328, 329]",Yes
50,"(24.068981481481483, 114.96462962962964)",ZGGGAR01,"[330, 331, 332]",Yes
51,"(24.225740740740743, 113.16666666666667)",ZGGGAR03,"[333, 334, 335, 336, 337]",Yes
52,"(23.05097222222222, 115.35923611111112)",ZGGGAR06,"[330, 338, 339]",Yes
53,"(25.20838888888889, 109.95538888888889)",ZGGGAR11,"[304, 310, 340, 341, 342, 343, 344, 345]",Yes
54,"(26.389999999999997, 111.41666666666667)",ZGGGAR12,"[340, 346, 347, 348, 349, 350]",Yes
55,"(28.35233333333333, 113.15905555555555)",ZGGGAR13,"[346, 351, 352, 353, 354, 355, 356, 357]",Yes
56,"(31.311865079365077, 110.82392857142858)",ZGGGAR17,"[251, 256, 292, 358, 359, 360, 361, 362]",Yes
57,"(31.958293650793653, 113.9354761904762)",ZGGGAR21,"[247, 358, 363, 364, 365, 366]",Yes
58,"(24.62372222222222, 112.00938888888888)",ZGGGAR23,"[333, 341, 347, 367, 368, 369, 370]",Yes
59,"(21.639791666666667, 112.20465277777777)",ZGGGAR24,"[371, 372, 373, 374]",Yes
60,"(26.718611111111112, 113.22777777777776)",ZGGGAR25,"[348, 351, 367, 375, 376, 377]",Yes
61,"(30.115416666666665, 113.78840277777779)",ZGGGAR27,"[352, 363, 378, 379, 380, 381]",Yes
62,"(23.209351851851853, 113.3976851851852)",ZGGGAR29,"[334, 338, 368, 371, 382]",Yes
63,"(23.06597222222222, 111.46562499999999)",ZGGGAR30,"[335, 342, 369, 372, 382, 383, 384]",Yes
64,"(30.36922222222222, 112.02194444444444)",ZGGGAR31,"[353, 359, 364, 378, 385]",Yes
65,"(27.237222222222226, 110.06657407407407)",ZGGGAR32,"[305, 343, 349, 386]",Yes
66,"(25.097962962962963, 113.31574074074075)",ZGGGAR33,"[336, 370, 375, 387, 388]",Yes
67,"(24.645370370370372, 114.04240740740742)",ZGGGAR34,"[331, 337, 387, 389, 390]",Yes
68,"(25.615347222222223, 114.26381944444444)",ZGGGAR35,"[376, 388, 389, 391, 392]",Yes
69,"(30.459555555555557, 115.06583333333333)",ZGGGAR36,"[354, 365, 379, 393, 394, 395, 396]",Yes
70,"(28.861388888888893, 110.7326388888889)",ZGGGAR37,"[293, 306, 350, 355, 360, 385, 386]",Yes
71,"(24.975208333333335, 115.3007638888889)",ZGGGAR38,"[332, 390, 391, 397, 398]",Yes
72,"(26.331944444444446, 115.29222222222222)",ZGGGAR40,"[377, 392, 397, 399, 400, 401, 402]",Yes
73,"(44.252222222222215, 127.87511904761907)",ZYHBAR02,"[328, 403, 404]",Yes
74,"(45.53755555555556, 123.56105555555555)",ZYHBAR03,"[405, 406]",Yes
75,"(49.4762962962963, 119.63350308641975)",ZYHBAR04,"[407, 408]",Yes
76,"(47.99596743295018, 128.0040804597701)",ZYHBAR05,"[329, 403, 407, 409, 410]",Yes
77,"(26.549027777777777, 103.5201388888889)",ZPPPAR01,"[301, 308, 411, 412]",Yes
78,"(25.827944444444448, 104.0463888888889)",ZPPPAR02,"[411, 413]",Yes
79,"(24.014938271604937, 104.09719135802467)",ZPPPAR03,"[311, 413, 414, 415, 416, 417]",Yes
80,"(22.63083333333333, 101.55849206349205)",ZPPPAR04,"[414, 418, 419]",Yes
81,"(24.07576388888889, 100.47652777777778)",ZPPPAR05,"[415, 418, 420]",Yes
82,"(25.82447222222222, 99.61052777777778)",ZPPPAR06,"[264, 309, 412, 416, 419, 420]",Yes
83,"(37.78645833333333, 106.37604166666667)",ZLLLAR02,"[190, 421, 422, 423]",Yes
84,"(40.89523148148149, 102.0513888888889)",ZLLLAR03,"[191, 424, 425]",Yes
85,"(35.405277777777776, 95.84777777777778)",ZLLLAR04,"[426, 427, 428, 429]",Yes
86,"(35.19166666666666, 102.7820987654321)",ZLLLAR06,"[268, 297, 426, 430, 431, 432, 433, 434]",Yes
87,"(38.08254629629629, 98.74615740740741)",ZLLLAR07,"[427, 430, 435, 436]",Yes
88,"(35.906597222222224, 105.84541666666667)",ZLLLAR08,"[421, 431, 437, 438, 439]",Yes
89,"(41.33340277777778, 97.88086805555555)",ZLLLAR09,"[424, 440, 441]",Yes
