ATD,SOBT,DEPAP,ARRAP,SECTOR_INFO,DepSector,ArrSector,TimeDelay
,2.02E+11,ZGSZ,ZHCC,"ZGJDAP,ZGGGAP,ZGGGAP,ZGGGAR05,ZGGGAR05,ZGGGAR03,ZGGGAR03,ZGGGAR03,ZGGGAR33,ZGGGAR33,ZGGGAR33,ZGGGAR25,ZGGGAR25,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR15,ZGGGAR15,ZGGGAR15,ZGGGAR15,ZGGGAR16,ZGGGAR16,ZHHHAR01,ZHHHAR01,ZHCCAR02,ZHCCAR02,ZHCCAR02,ZHCCAR02,ZHCCAR02,ZHCCAR02,ZHCCAP,",62,22,180
2.02E+11,2.02E+11,ZSJN,ZSAM,"ZSJNAP,ZSJNAR02,ZSJNAR02,ZSJNAR02,ZSJNAR02,ZSOFAR05,ZSOFAR05,ZSOFAR05,ZSOFAR05,ZSOFAR05,ZSOFAR05,ZSOFAR01,ZSOFAR01,ZSOFAR01,ZSOFAR01,ZSOFAR02,ZSOFAR02,ZSOFAR02,ZSOFAR06,ZSOFAR06,ZSOFAR06,ZSOFAR06,ZSCNAR01,ZSCNAR01,ZSCNAR04,ZSCNAR04,ZSCNAR04,ZSCNAR04,ZSCNAR04,ZSCNAR04,ZSAMAR04,ZSAMAP,",20,132,1015
2.02E+11,2.02E+11,ZHHH,ZSLY,"ZHHHAP,ZHHHAR04,ZHHHAR04,ZSOFAR03,ZSOFAR03,ZSOFAR01,ZSOFAR01,ZSOFAR01,ZSOFAR01,ZSOFAR05,ZSOFAR05,ZSOFAR05,ZSOFAR05,ZSSSAR16,ZSSSAR16,ZSSSAR16,ZSSSAR16,ZSNJAP,ZSJNAR03,",61,138,665
2.02E+11,2.02E+11,ZJSY,ZSPD,"ZJSYAP,ZJSYAR04,ZJSYAR04,ZJSYAR04,ZJSYAR04,ZJSYAR11,ZJSYAR11,ZJSYAR11,ZJSYAR11,ZJSYAR11,ZJSYAR11,ZGGGAR30,UNKNOWNAR,ZGGGAR29,ZGGGAR29,ZGGGAR29,ZGGGAR29,ZGGGAR01,ZGGGAR38,ZSSSAR10,ZSSSAR10,ZSSSAR10,ZSSSAR10,ZSSSAR09,ZSSSAR09,ZSSSAR09,ZSSSAR29,ZSSSAR29,ZSSSAR29,ZSSSAR18,ZSSSAR18,ZSSSAR18,ZSSSAR02,ZSSSAR02,ZSSSAR32,ZSSSAP,ZSSSAP,",101,110,745
,2.02E+11,ZLXY,ZPDL,"ZLXYAP,ZLXYAR08,ZLXYAR05,ZUUUAR01,ZUUUAR01,ZUUUAR20,ZUUUAR20,ZUUUAR20,ZUUUAR20,ZUUUAR20,ZUUUAR10,ZUUUAR18,ZUUUAR18,ZUUUAR18,ZUUUAR24,ZUUUAR24,ZUUUAR24,ZPPPAR01,ZPPPAR01,ZPPPAR01,ZPPPAR06,ZPPPAR06,ZPPPAR06,ZPPPAR06,ZPPPAR06,",165,82,1270
2.02E+11,2.02E+11,ZSFZ,ZGSZ,"ZSFZAP,ZSFZAP,ZSAMAR02,ZSAMAR02,ZSAMAR02,ZSAMAR02,ZSSSAR30,ZSSSAR30,ZSSSAR40,ZSSSAR40,ZSSSAR40,ZGGGAR06,ZGGGAR06,ZGGGAR06,ZGJDAP,ZGJDAP,ZGJDAP,",131,62,865
2.02E+11,2.02E+11,ZYTL,ZBTJ,"ZYTLAP,ZYTLAR04,ZBAAAR21,ZBAAAR22,ZBAAAR22,ZBAAAR22,ZBAAAR22,ZBAAAP,",46,16,650
2.02E+11,2.02E+11,ZYHB,ZGGG,"ZYHBAPP,ZYHBAR03,ZYHBAR03,ZYTXAR10,ZYTXAR11,ZYTXAR13,ZBAAAR04,ZBAAAR04,ZBAAAR04,ZBAAAR03,ZBAAAR06,ZBAAAR06,ZBAAAR06,ZBAAAR06,ZBAAAR10,ZBAAAR10,ZBAAAR10,ZBAAAR11,ZBAAAR11,ZBAAAR29,ZBAAAR29,ZBAAAR29,ZBAAAR29,ZBAAAR29,ZBAAAR29,ZBAAAR29,ZBAAAR29,ZGGGAR21,ZGGGAR21,ZGGGAR31,ZGGGAR37,ZGGGAR37,ZGGGAR37,ZGGGAR12,ZGGGAR12,ZGGGAR25,ZGGGAR03,ZGGGAR03,ZGGGAP,ZGGGAP,ZGGGAP,",144,62,1170
2.02E+11,2.02E+11,ZBDS,ZBAD,"ZBHHAR03,ZBHHAR03,ZBHHAR02,ZBHHAR02,ZBHHAR02,ZBHHAR02,ZBHHAR02,ZBHHAR02,ZBHHAR02,ZBAAAR32,ZBAAAR32,ZBAAAR05,ZBAAAR05,ZBAAAP,",163,16,990
2.02E+11,2.02E+11,ZBDS,ZUCK,"ZBHHAR03,ZLXYAR09,ZLXYAR09,ZLXYAR09,ZLXYAR01,ZLXYAR01,ZLXYAR01,ZLXYAR01,ZLXYAR12,ZLXYAR12,ZLXYAR12,ZLXYAR12,ZLXYAR08,ZLXYAR05,ZUUUAR27,ZUUUAR27,ZUUUAR27,ZUUUAR06,ZUCKAP,ZUCKAP,ZUCKAP,",163,33,1300
2.02E+11,2.02E+11,ZSAM,ZUUU,"ZSAMAP,ZSAMAR01,ZSSSAR40,ZSSSAR40,ZSSSAR40,ZSSSAR40,ZSSSAR40,ZGGGAR01,ZGGGAR01,ZGGGAR34,ZGGGAR34,ZGGGAR03,ZGGGAR03,ZGGGAR03,ZGGGAR23,ZGGGAR11,ZGGGAR11,ZGGGAR11,ZGGGAR11,ZGGGAR11,ZGGGAR11,UNKNOWNAR,ZUUUAR23,ZUUUAR22,ZUUUAR22,ZUUUAR22,ZUUUAR22,ZUUUAR22,ZUUUAR22,ZUUUAR17,ZUUUAR17,ZUUUAR02,ZUUUAR02,ZUUUAP,",132,34,1190
2.02E+11,2.02E+11,ZUUU,ZSWZ,"ZUUUAP,ZUUUAR05,ZUUUAR05,ZUUUAR05,ZUUUAR05,ZUUUAR20,ZUUUAR20,ZUUUAR20,ZUUUAR20,ZUUUAR20,ZUUUAR20,ZUUUAR20,ZUUUAR20,ZUUUAR20,ZUUUAR13,ZUUUAR13,ZUUUAR13,ZUUUAR13,ZUUUAR13,ZGGGAR19,ZGGGAR19,ZGGGAR19,ZGGGAR19,ZGGGAR19,ZGGGAR19,ZGGGAR12,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,UNKNOWNAR,ZSSSAR11,ZSSSAR11,ZSSSAR12,ZSSSAR12,ZSSSAR12,ZSSSAR12,ZSSSAR12,ZSCNAR04,ZSCNAR05,ZSCNAR05,ZSSSAR19,ZSWZAP,ZSWZAP,",34,121,1050
2.02E+11,2.02E+11,ZYTX,ZHHH,"ZYTXAP,ZYTXAR03,ZYTLAR08,ZYTLAR08,ZYTLAR05,ZYTLAR05,ZYTLAR05,ZYTLAR04,ZSQDAR02,ZSQDAR02,ZSQDAR02,ZSQDAR02,ZSQDAR02,ZSQDAR02,ZBAAAR23,ZBAAAR23,ZBAAAR23,ZBAAAR23,ZBAAAR23,ZBAAAR23,ZBAAAR23,ZBAAAR23,ZBAAAR26,ZBAAAR26,ZBAAAR26,ZBAAAR26,ZHCCAR04,ZHCCAR04,ZHCCAR04,ZHCCAR04,ZHCCAR04,ZHCCAR04,ZHCCAR02,ZHCCAR02,ZHCCAR02,ZHHHAP,",148,61,465
2.02E+11,2.02E+11,ZGFS,ZSFZ,"ZGGGAP,ZGGGAR05,ZGGGAR01,ZSAMAR07,ZSAMAR06,ZSAMAR06,ZSAMAR06,ZSAMAR06,ZSAMAR06,ZSAMAR01,ZSAMAR02,ZSAMAR02,ZSAMAR02,ZSAMAR02,ZSFZAP,ZSFZAP,",62,131,760
,2.02E+11,ZSWZ,ZBSJ,"ZSWZAP,ZSWZAP,ZSWZAP,ZSWZAP,ZSWZAP,ZSSSAR32,ZSSSAR32,ZSSSAR32,ZSSSAR37,ZSSSAR37,ZSSSAR37,ZSSSAR37,ZSSSAR37,ZSSSAR04,ZSSSAR04,ZSSSAR04,ZSSSAR04,ZSSSAR04,ZSSSAR38,ZSSSAR38,ZSSSAR38,ZSSSAR38,ZSSSAR16,ZSSSAR16,ZSSSAR16,ZSSSAR16,ZSSSAR16,ZBAAAR24,ZBAAAR24,ZBAAAR24,ZBAAAR23,ZBAAAR17,ZBAAAR17,ZBAAAR16,ZBAAAR12,ZBSJAP,",121,11,650
2.02E+11,2.02E+11,ZSPD,ZSAM,"ZSSSAP,ZSSSAR08,ZSSSAR08,ZSSSAR28,ZSSSAR18,ZSSSAR18,ZSAMAR03,ZSAMAR03,ZSAMAR03,ZSAMAP,",110,132,865
2.02E+11,2.02E+11,ZSPD,ZSLY,"ZSSSAP,ZSSSAR04,ZSSSAR04,ZSSSAR04,ZSSSAR04,ZSSSAR06,ZSSSAR06,ZSSSAR06,ZSSSAR06,ZSNJAP,ZSNJAP,ZSNJAP,ZSNJAP,ZSNJAP,ZSJNAR03,",110,138,425
2.02E+11,2.02E+11,ZGSZ,ZUUU,"ZGJDAP,ZGJDAP,ZGGGAP,ZGGGAR05,ZGGGAR05,ZGGGAR03,ZGGGAR03,ZGGGAR03,ZGGGAR03,ZGGGAR03,ZGGGAR23,ZGGGAR11,ZGGGAR11,ZGGGAR11,ZGGGAR11,ZGGGAR11,ZGGGAR11,UNKNOWNAR,ZUUUAR26,ZUUUAR22,ZUUUAR22,ZUUUAR22,ZUUUAR22,ZUUUAR24,ZUUUAR22,ZUUUAR18,ZUUUAR18,ZUUUAR02,ZUUUAR02,ZUUUAP,",62,34,720
2.02E+11,2.02E+11,ZBDT,ZYHB,"ZBAAAR32,ZBAAAR32,ZBHHAR02,ZBHHAR01,ZBAAAR02,ZBAAAR02,ZYTXAR07,ZYTXAR07,ZYTXAR11,ZYTXAR11,ZYTXAR10,ZYHBAR03,ZYHBAR03,ZYHBAPP,",27,144,810
